City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,kirando,-7.4167,30.6,23.74,82,100,2.14,TZ,1707081253
347,carambei,-24.9178,-50.0972,19.23,84,44,1.83,BR,1707081254
348,dryden,49.7833,-92.7503,1.16,100,100,1.54,CA,1707081254
349,pokrovo-prigorodnoye,52.6841,41.4175,0.32,98,100,6.57,RU,1707080969
350,hendaye,43.3717,-1.7738,12.64,83,100,1.03,FR,1707081255
351,gilgit,35.9221,74.3087,-2.01,82,82,1.32,PK,1707081255
352,chom thong,18.4174,98.6743,19.49,48,0,1.15,TH,1707081255
353,takoradi,4.8845,-1.7554,27.09,80,95,3.66,GH,1707081256
354,jayapura,-2.5333,140.7,26.66,92,100,2.17,ID,1707081256
355,enoch,37.7733,-113.0244,4.14,69,100,6.69,US,1707081257
356,geraldton,-28.7667,114.6,15.23,82,16,5.66,AU,1707081171
357,kudahuvadhoo,2.6708,72.8944,27.82,77,58,7.64,MV,1707081258
358,waterloo,43.4668,-80.5164,5.3,92,4,3.58,CA,1707080870
359,sao joao da barra,-21.6403,-41.0511,28.05,87,100,4.23,BR,1707080960
360,walvis bay,-22.9575,14.5053,19.49,84,100,4.42,NA,1707081194
361,petrila,45.45,23.4167,5.08,92,99,3.41,RO,1707081259
362,kristiansund,63.1115,7.732,0.03,93,75,1.54,NO,1707081166
